                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75287,                0.41966,                0.94493,                0.98119,                0.98556,                0.99177,                0.81691,                0.66322,                0.35052,                 0.8943,             0.00040844,             0.00040844,             0.00040844
                     37,                 0.7495,                0.41311,                0.94495,                0.98421,                0.98463,                0.99152,                0.81751,                 0.6638,                 0.3466,                0.89274,             0.00040225,             0.00040225,             0.00040225
                     38,                0.74504,                0.41084,                0.94242,                0.98696,                0.98687,                0.99165,                0.82298,                0.64891,                0.33968,                0.88881,             0.00039606,             0.00039606,             0.00039606
                     39,                0.74762,                0.40897,                0.93995,                0.98407,                0.98494,                0.99077,                0.81498,                 0.6725,                0.34746,                0.89567,             0.00038988,             0.00038988,             0.00038988
                     40,                0.74711,                0.40833,                0.94248,                0.98271,                0.98786,                 0.9911,                0.82027,                0.65144,                0.34211,                0.89216,             0.00038369,             0.00038369,             0.00038369
                     41,                0.73825,                0.40153,                0.93491,                 0.9855,                0.98885,                0.99219,                0.81464,                0.68358,                0.34471,                 0.9005,              0.0003775,              0.0003775,              0.0003775
                     42,                0.74238,                0.40377,                 0.9393,                 0.9865,                0.98603,                0.99195,                0.82239,                0.65373,                0.33881,                0.88709,             0.00037131,             0.00037131,             0.00037131
                     43,                0.74016,                0.39806,                0.93598,                0.98187,                 0.9886,                0.99154,                0.82344,                 0.6511,                0.33841,                0.88768,             0.00036513,             0.00036513,             0.00036513
                     44,                0.74003,                0.39948,                0.93668,                0.98567,                0.98968,                0.99339,                0.82429,                0.65245,                0.33086,                0.88896,             0.00035894,             0.00035894,             0.00035894
                     45,                0.73876,                0.39759,                0.93493,                0.98829,                0.98912,                0.99285,                0.81895,                0.66824,                0.33583,                0.89061,             0.00035275,             0.00035275,             0.00035275
                     46,                0.72809,                0.39082,                0.93046,                0.98472,                  0.987,                0.99237,                 0.8261,                0.65241,                0.33583,                0.88566,             0.00034656,             0.00034656,             0.00034656
                     47,                0.72764,                0.39128,                 0.9281,                0.98672,                0.99082,                0.99279,                0.82577,                0.64558,                0.32536,                0.88444,             0.00034038,             0.00034038,             0.00034038
                     48,                0.73162,                0.38895,                0.93045,                0.98572,                0.99291,                0.99283,                0.82155,                0.66283,                0.32849,                0.88704,             0.00033419,             0.00033419,             0.00033419
                     49,                0.72683,                0.38701,                0.93118,                0.98831,                 0.9894,                0.99285,                0.80518,                0.72214,                 0.3365,                 0.9002,               0.000328,               0.000328,               0.000328
                     50,                0.72823,                0.38694,                0.93188,                0.98658,                0.99051,                0.99198,                0.81057,                0.69341,                0.32827,                 0.8947,             0.00032181,             0.00032181,             0.00032181
                     51,                0.73279,                0.38709,                0.93167,                0.98817,                0.99246,                0.99286,                0.83232,                0.62538,                 0.3211,                 0.8776,             0.00031562,             0.00031562,             0.00031562
                     52,                0.71899,                0.37729,                0.92678,                0.98702,                0.98915,                0.99297,                0.82896,                0.63688,                0.31739,                 0.8795,             0.00030944,             0.00030944,             0.00030944
                     53,                0.71671,                0.37964,                0.92361,                0.98837,                0.99285,                0.99333,                0.82632,                0.64966,                0.32172,                0.88088,             0.00030325,             0.00030325,             0.00030325
                     54,                0.71674,                0.37867,                0.92656,                0.98661,                0.99252,                0.99316,                0.83508,                0.62046,                0.31711,                0.87551,             0.00029706,             0.00029706,             0.00029706
                     55,                0.71718,                0.37664,                0.92287,                0.98772,                 0.9918,                0.99332,                0.83443,                0.62289,                0.31644,                0.87489,             0.00029088,             0.00029088,             0.00029088
                     56,                0.71406,                0.37697,                0.92651,                 0.9847,                0.99369,                0.99339,                0.82611,                 0.6519,                0.31815,                0.88036,             0.00028469,             0.00028469,             0.00028469
                     57,                0.71888,                0.37524,                0.92558,                0.98817,                0.99283,                0.99323,                0.83387,                0.62383,                0.30778,                0.87385,              0.0002785,              0.0002785,              0.0002785
